rcvTOW,ZHD_m,ZWD_m,ZTD_m,PWV_mm,clk_residual_m,n_sats,rms_m
225874.992,1.93022954639882,-9.553574511705266,-7.623344965306446,-16.08032022971857,51.10099350608171,15,7.614049532128605
225875.992,1.93022954639882,-9.873287884391024,-7.943058337992204,-16.618453198505417,51.32306946454471,15,7.918987362887067
225876.992,1.93022954639882,-10.331522326328363,-8.401292779929543,-17.38974111357958,51.95888553566456,15,8.345562111138436
225877.992,1.93022954639882,-8.200582702296535,-6.270353155897714,-13.803000726236167,49.112280883940024,15,6.025195521666023
225878.992,1.93022954639882,-9.467748270963899,-7.5375187245650785,-15.935859804613477,50.79261754982078,15,7.057345340055825
225879.992,1.93022954639882,-8.376608659972778,-6.446379113573958,-14.099282894204693,49.29273566104607,15,5.921032201282912
225880.992,1.93022954639882,-9.752753151309594,-7.822523604910774,-16.415572370562092,51.47993488010153,15,7.264468679880508
225881.992,1.93022954639882,-9.473580113794876,-7.543350567396056,-15.94567580595796,50.98459244574752,15,6.979412744646531
225882.992,1.93022954639882,-8.520366064130496,-6.5901365177316755,-14.341251498878982,49.681293147851626,15,6.054858519184099
225883.992,1.93022954639882,-7.919166439553789,-5.9889368931549685,-13.329328425129445,48.715988472694704,15,5.727769032846345
225884.992,1.93022954639882,-7.903838576140445,-5.973609029741625,-13.30352897678454,48.98163734024633,15,5.769039140071975
225885.992,1.93022954639882,-8.081354267228008,-6.151124720829188,-13.60231862405116,49.0714962233657,15,5.910314314572119
225886.992,1.93022954639882,-5.9842217168498335,-4.053992170451013,-10.072481395804312,46.31988522577673,15,5.782547249255832
225887.992,1.93022954639882,-5.322181687621457,-3.391952141222637,-8.958153385713322,45.54183186912298,15,6.254089633716682
225888.992,1.93022954639882,-8.056980740780455,-6.126751194381635,-13.561293758444684,49.20589992014343,15,5.954970803240328
225889.992,1.93022954639882,-7.920279975757776,-5.990050429358956,-13.331202699384129,48.79462723394746,15,5.9306182053898775
225890.992,1.93022954639882,-7.87436324198877,-5.94413369558995,-13.25391688536722,48.98635942933941,15,5.8902756246707
225891.992,1.93022954639882,-7.825068207916985,-5.894838661518165,-13.170944806943801,48.831910841742946,15,5.904228425288069
225892.992,1.93022954639882,-7.751883239299093,-5.821653692900273,-13.047761831824307,48.66229069211189,15,5.900050729501218
225893.992,1.93022954639882,-7.692497331876693,-5.7622677854778726,-12.947805066184955,48.58468714744474,15,5.981550940565753
225894.992,1.93022954639882,-7.64436400909691,-5.71413446269809,-12.866788349031497,48.599349892339006,15,5.933664392587167
